"","run","seed_percent","pollinator_species","pol.bm","pol.soc","pl.no.vis"
"423",1190619027,0.367209394880668,2,5.506,0,2
"424",1190619027,0.367209394880668,3,2.845,1,1
"425",1190619027,0.367209394880668,4,2.479,1,2
"426",1190619027,0.367209394880668,5,2.858,2,3
"427",1190619027,0.367209394880668,6,2.187,2,1
"428",1190619027,0.367209394880668,7,4.508,3,3
"429",1190619027,0.367209394880668,8,2.938,3,1
"430",1195675301,0.183627916078152,1,5.414,0,4
"431",1195675301,0.183627916078152,2,3.079,0,5
"432",1195675301,0.183627916078152,3,1.112,1,4
"433",1195675301,0.183627916078152,4,6.294,1,4
"434",1195675301,0.183627916078152,5,6.041,2,5
"435",1195675301,0.183627916078152,6,7.72,2,5
"436",1195675301,0.183627916078152,7,2.813,3,4
"437",1195675301,0.183627916078152,8,1.565,3,5
"438",1201077411,6.13253944681226e-05,1,6.782,0,3
"439",1201077411,6.13253944681226e-05,2,5.054,0,3
"440",1201077411,6.13253944681226e-05,3,7.792,1,3
"441",1201077411,6.13253944681226e-05,4,1.769,1,3
"442",1201077411,6.13253944681226e-05,5,6.206,2,5
"443",1201077411,6.13253944681226e-05,6,4.49,2,3
"444",1201077411,6.13253944681226e-05,7,6.488,3,4
"445",1201077411,6.13253944681226e-05,8,5.619,3,3
"446",1208123379,7.11308704069226e-05,1,4.46,0,1
"447",1208123379,7.11308704069226e-05,2,3.663,0,1
"448",1208123379,7.11308704069226e-05,3,5.02,1,1
"449",1208123379,7.11308704069226e-05,4,5.273,1,3
"450",1208123379,7.11308704069226e-05,5,2.233,2,1
"451",1208123379,7.11308704069226e-05,6,2.601,2,2
"452",1208123379,7.11308704069226e-05,7,5.356,3,2
"453",1208123379,7.11308704069226e-05,8,6.205,3,2
"454",1209407020,0.298358587654975,1,1.266,0,4
"455",1209407020,0.298358587654975,2,5.32,0,3
"456",1209407020,0.298358587654975,3,4.81,1,3
"457",1209407020,0.298358587654975,4,1.311,1,3
"458",1209407020,0.298358587654975,5,5.791,2,3
"459",1209407020,0.298358587654975,6,6.964,2,2
"460",1209407020,0.298358587654975,7,2.808,3,4
"461",1209407020,0.298358587654975,8,5.293,3,4
"462",1218984658,0.344902649899842,1,4.35,0,4
"463",1218984658,0.344902649899842,2,5.582,0,3
"464",1218984658,0.344902649899842,3,1.226,1,4
"465",1218984658,0.344902649899842,4,4.419,1,2
"466",1218984658,0.344902649899842,5,7.101,2,3
"467",1218984658,0.344902649899842,6,3.145,2,4
"468",1218984658,0.344902649899842,7,6.535,3,5
"469",1218984658,0.344902649899842,8,5.489,3,3
"470",1219798731,0.000153441652194956,1,5.783,0,2
"471",1219798731,0.000153441652194956,2,4.764,0,4
"472",1219798731,0.000153441652194956,3,2.065,1,4
"473",1219798731,0.000153441652194956,4,7.081,1,5
"474",1219798731,0.000153441652194956,5,5.57,2,4
"475",1219798731,0.000153441652194956,6,2.298,2,2
"476",1219798731,0.000153441652194956,7,2.739,3,3
"477",1219798731,0.000153441652194956,8,7.795,3,4
"478",1224088989,0.0215328994950219,1,7.553,0,4
"479",1224088989,0.0215328994950219,2,4.125,0,4
"480",1224088989,0.0215328994950219,3,2.76,1,4
"481",1224088989,0.0215328994950219,4,5.491,1,3
"482",1224088989,0.0215328994950219,5,6.712,2,5
"483",1224088989,0.0215328994950219,6,5.163,2,4
"484",1224088989,0.0215328994950219,7,6.902,3,5
"485",1224088989,0.0215328994950219,8,1.668,3,4
"486",1224315429,0.0468122710970467,1,3.962,0,5
"487",1224315429,0.0468122710970467,2,1.595,0,6
"488",1224315429,0.0468122710970467,3,7.145,1,4
"489",1224315429,0.0468122710970467,4,2.924,1,5
"490",1224315429,0.0468122710970467,5,7.59,2,5
"491",1224315429,0.0468122710970467,6,2.901,2,6
"492",1224315429,0.0468122710970467,7,6.284,3,6
"493",1224315429,0.0468122710970467,8,1.204,3,4
"494",1225738254,0.760236966133415,1,3.058,0,1
"495",1225738254,0.760236966133415,2,2.563,0,2
"496",1225738254,0.760236966133415,3,4.147,1,1
"497",1225738254,0.760236966133415,4,1.84,1,1
"498",1225738254,0.760236966133415,5,2.141,2,1
"499",1225738254,0.760236966133415,6,5.248,2,1
"500",1225738254,0.760236966133415,7,6.383,3,1
"501",1225738254,0.760236966133415,8,3.978,3,1
"502",1244724875,0.000500606260280098,1,2.227,0,5
"503",1244724875,0.000500606260280098,2,7.362,0,3
"504",1244724875,0.000500606260280098,3,4.521,1,3
"505",1244724875,0.000500606260280098,4,4.86,1,5
"506",1244724875,0.000500606260280098,5,5.249,2,4
"507",1244724875,0.000500606260280098,6,6.767,2,6
"508",1244724875,0.000500606260280098,7,5.528,3,4
"509",1244724875,0.000500606260280098,8,1.808,3,4
"510",1256543184,0.00960575213572674,1,2.913,0,2
"511",1256543184,0.00960575213572674,2,6.935,0,3
"512",1256543184,0.00960575213572674,3,2.774,1,2
"513",1256543184,0.00960575213572674,4,5.409,1,2
